mode,channels,mse,mae
all_channels,,3.1621462963012443,1.3502330460560967
single_channel,,1.738106459291273,1.0391720199463157
iterative_addition,1.0,1.738106459291273,1.0391720199463157
iterative_addition,2.0,1.809690393249775,0.9976028677521945
iterative_addition,3.0,1.549122583405048,0.9018980681495494
iterative_addition,4.0,1.5619129614268854,0.8947397632164151
iterative_addition,5.0,1.516158587709986,0.8682339403954238
iterative_addition,6.0,1.524252545299997,0.8747564096622765
iterative_addition,7.0,1.5357657238204065,0.8728968116624047
iterative_addition,8.0,1.5304294896115087,0.872685916309092
iterative_addition,9.0,1.571920287593505,0.8853047855449121
iterative_addition,10.0,1.5839999889842544,0.8909344170611977
iterative_addition,11.0,1.6223825378105676,0.9023518299976239
iterative_addition,12.0,1.6286019827286922,0.9043667589264424
iterative_addition,13.0,1.6395810868312488,0.9127285700169161
iterative_addition,14.0,1.5964737669526503,0.8936225338374776
iterative_addition,15.0,1.5997823289229154,0.8965741638816838
iterative_addition,16.0,1.563536711946862,0.8816480355218947
